horizon,frames,model,split,samples,accuracy,top2_accuracy,macro_f1,log_loss,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
1s,60,context_B,validation,1921,0.3310775637688704,0.6397709526288391,0.13092836687427417,1.6258172567179416,1639,0.3099450884685784,282,0.45390070921985815
1s,60,context_B,test,4834,0.3862225899875879,0.618535374431113,0.1410605986130468,1.478093082641771,3463,0.3141784579844066,1371,0.5681983953318746
1s,60,stacking,validation,1921,0.5663716814159292,0.7376366475793857,0.42335486121984156,1.1256881688722116,1639,0.6211104331909701,282,0.24822695035460993
1s,60,stacking,test,4834,0.5635084815887463,0.7579644187008688,0.3876383076915718,1.1276634388940525,3463,0.5538550389835403,1371,0.587892049598833
2s,120,fep_efe,validation,1092,0.3333333333333333,0.6538461538461539,0.1,1.531712479383611,884,0.24434389140271492,208,0.7115384615384616
2s,120,fep_efe,test,3214,0.4131922837585563,0.693528313627878,0.1169528841919859,1.4547094657993933,2271,0.2950242184059885,943,0.6977730646871686
2s,120,fep_generative,validation,1092,0.3333333333333333,0.5393772893772893,0.1,1.5733321677514243,884,0.24434389140271492,208,0.7115384615384616
2s,120,fep_generative,test,3214,0.4131922837585563,0.5821406347230865,0.1169528841919859,1.4277799120349004,2271,0.2950242184059885,943,0.6977730646871686
2s,120,xgboost,validation,1092,0.45146520146520147,0.717032967032967,0.2591944245188741,1.244897204413511,884,0.41289592760180993,208,0.6153846153846154
2s,120,xgboost,test,3214,0.5084007467330429,0.7358431860609832,0.2865464041279909,1.1655451688414404,2271,0.4456186701893439,943,0.6595970307529162
2s,120,xgboost_fep,validation,1092,0.45054945054945056,0.7060439560439561,0.25415729697283707,1.2443293231664307,884,0.41855203619909503,208,0.5865384615384616
2s,120,xgboost_fep,test,3214,0.5068450528935905,0.7442439327940261,0.28269559171186204,1.1588285851079925,2271,0.4420959929546455,943,0.662778366914104
2s,120,two_stage,validation,1092,0.5091575091575091,0.7225274725274725,0.3431019227390917,1.2858499782518475,884,0.5158371040723982,208,0.4807692307692308
2s,120,two_stage,test,3214,0.529869321717486,0.7283758556316117,0.31212193246256603,1.2020725873991127,2271,0.5107881990312637,943,0.5758218451749735
2s,120,two_stage_fep,validation,1092,0.4835164835164835,0.7234432234432234,0.3068373249407215,1.2260991323928894,884,0.47850678733031676,208,0.5048076923076923
2s,120,two_stage_fep,test,3214,0.5345364032358432,0.7339763534536403,0.3100102403883649,1.1720308165452016,2271,0.5099075297225891,943,0.5938494167550371
2s,120,catboost,validation,1092,0.4807692307692308,0.7408424908424909,0.29239673223287593,1.2153082962320552,884,0.4343891402714932,208,0.6778846153846154
2s,120,catboost,test,3214,0.5146235220908525,0.7386434349719975,0.2855297465479867,1.18235613421768,2271,0.43593130779392336,943,0.704135737009544
2s,120,hsmm_duration,validation,1092,0.3333333333333333,0.5393772893772893,0.1,1.5213097873335635,884,0.24434389140271492,208,0.7115384615384616
2s,120,hsmm_duration,test,3214,0.4131922837585563,0.5821406347230865,0.1169528841919859,1.417872062091026,2271,0.2950242184059885,943,0.6977730646871686
2s,120,context_B,validation,1092,0.25274725274725274,0.40476190476190477,0.09618393779279441,1.7545303649825017,884,0.18778280542986425,208,0.5288461538461539
2s,120,context_B,test,3214,0.3705662725575607,0.5164903546981954,0.12849298527448788,1.5076314920652802,2271,0.2509907529722589,943,0.6585365853658537
2s,120,stacking,validation,1092,0.47893772893772896,0.6913919413919414,0.23642336630657526,1.2509811745839192,884,0.4445701357466063,208,0.625
2s,120,stacking,test,3214,0.5357809583074051,0.7006845052893591,0.2670488205615592,1.2158213943389122,2271,0.4804051078819903,943,0.6691410392364793
3s,180,fep_efe,validation,555,0.44144144144144143,0.7387387387387387,0.12250000000000001,1.3987955327253654,364,0.25,191,0.806282722513089
3s,180,fep_efe,test,1751,0.4471730439748715,0.7195888063963449,0.12359905288082082,1.400046232099892,1257,0.32537788385043753,494,0.757085020242915
3s,180,fep_generative,validation,555,0.44144144144144143,0.581981981981982,0.12250000000000001,1.4487205025424972,364,0.25,191,0.806282722513089
3s,180,fep_generative,test,1751,0.4471730439748715,0.6042261564820103,0.12359905288082082,1.3905315369223907,1257,0.32537788385043753,494,0.757085020242915
3s,180,xgboost,validation,555,0.4864864864864865,0.7153153153153153,0.3284064340481391,1.3134517365016403,364,0.3324175824175824,191,0.7801047120418848
3s,180,xgboost,test,1751,0.3797829811536265,0.7155910908052542,0.15671539431436837,1.3222180476226175,1257,0.2967382657120127,494,0.5910931174089069
3s,180,xgboost_fep,validation,555,0.5027027027027027,0.7243243243243244,0.3814814770222596,1.3170143588726029,364,0.33516483516483514,191,0.8219895287958116
3s,180,xgboost_fep,test,1751,0.3894917190177042,0.7041690462592805,0.1706377459872143,1.3344194201153754,1257,0.30946698488464597,494,0.5931174089068826
3s,180,two_stage,validation,555,0.4306306306306306,0.7243243243243244,0.2880834089240286,1.3364757569292403,364,0.3324175824175824,191,0.6178010471204188
3s,180,two_stage,test,1751,0.39920045688178185,0.6950314106225014,0.18915587183300955,1.3294722573055702,1257,0.34765314240254575,494,0.5303643724696356
3s,180,two_stage_fep,validation,555,0.46126126126126127,0.6882882882882883,0.32960150238917213,1.3617920769206502,364,0.38461538461538464,191,0.6073298429319371
3s,180,two_stage_fep,test,1751,0.3957738435179897,0.6996002284408909,0.1931145825320861,1.349008103865748,1257,0.3444709626093874,494,0.5263157894736842
3s,180,catboost,validation,555,0.44324324324324327,0.7603603603603604,0.22241944819602547,1.3819835820511779,364,0.34615384615384615,191,0.6282722513089005
3s,180,catboost,test,1751,0.4306110793832096,0.67390062821245,0.192721715958242,1.3163689477860854,1257,0.31742243436754175,494,0.7186234817813765
3s,180,hsmm_duration,validation,555,0.44144144144144143,0.581981981981982,0.12250000000000001,1.4323681533408672,364,0.25,191,0.806282722513089
3s,180,hsmm_duration,test,1751,0.4471730439748715,0.6042261564820103,0.12359905288082082,1.3832638066619654,1257,0.32537788385043753,494,0.757085020242915
3s,180,context_B,validation,555,0.4126126126126126,0.5315315315315315,0.13173295454545456,1.5162878774738213,364,0.21703296703296704,191,0.7853403141361257
3s,180,context_B,test,1751,0.40719588806396345,0.5431182181610509,0.12357552840684524,1.4475340129810566,1257,0.2752585521081941,494,0.742914979757085
3s,180,stacking,validation,555,0.44144144144144143,0.5405405405405406,0.12250000000000001,1.4052657503392325,364,0.25,191,0.806282722513089
3s,180,stacking,test,1751,0.4471730439748715,0.6150770988006853,0.12359905288082082,1.3283253864609137,1257,0.32537788385043753,494,0.757085020242915
