horizon,milliseconds,frames,model,step,step_time_ms_at_60fps,samples,correct,accuracy
3000ms,3000,180,xgboost,107,1783.3333333333333,1664,346,0.20793269230769232
3000ms,3000,180,xgboost,108,1800.0,1664,334,0.20072115384615385
3000ms,3000,180,xgboost,109,1816.6666666666667,1664,333,0.20012019230769232
3000ms,3000,180,xgboost,110,1833.3333333333333,1664,339,0.20372596153846154
3000ms,3000,180,xgboost,111,1850.0,1664,340,0.20432692307692307
3000ms,3000,180,xgboost,112,1866.6666666666667,1664,341,0.2049278846153846
3000ms,3000,180,xgboost,113,1883.3333333333333,1664,344,0.20673076923076922
3000ms,3000,180,xgboost,114,1900.0,1664,351,0.2109375
3000ms,3000,180,xgboost,115,1916.6666666666667,1664,361,0.2169471153846154
3000ms,3000,180,xgboost,116,1933.3333333333333,1664,366,0.21995192307692307
3000ms,3000,180,xgboost,117,1950.0,1664,369,0.22175480769230768
3000ms,3000,180,xgboost,118,1966.6666666666667,1664,364,0.21875
3000ms,3000,180,xgboost,119,1983.3333333333333,1664,357,0.21454326923076922
3000ms,3000,180,xgboost,120,2000.0,1664,346,0.20793269230769232
3000ms,3000,180,xgboost,121,2016.6666666666667,1664,334,0.20072115384615385
3000ms,3000,180,xgboost,122,2033.3333333333333,1664,325,0.1953125
3000ms,3000,180,xgboost,123,2050.0,1664,316,0.18990384615384615
3000ms,3000,180,xgboost,124,2066.6666666666665,1664,314,0.18870192307692307
3000ms,3000,180,xgboost,125,2083.3333333333335,1664,315,0.1893028846153846
3000ms,3000,180,xgboost,126,2100.0,1664,313,0.18810096153846154
3000ms,3000,180,xgboost,127,2116.6666666666665,1664,310,0.18629807692307693
3000ms,3000,180,xgboost,128,2133.3333333333335,1664,304,0.18269230769230768
3000ms,3000,180,xgboost,129,2150.0,1664,294,0.17668269230769232
3000ms,3000,180,xgboost,130,2166.6666666666665,1664,283,0.1700721153846154
